OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03106500,"Slippery Rock Creek at Wurtemburg, PA",Stream,,05030105,398,sq mi,,,40.8839524,-80.2336726,,1,seconds,Interpolated from MAP.,NAD83,832.06,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,073,,,,,,,,,NWIS
USGS-PA,USGS Pennsylvania Water Science Center,USGS-03107500,"Beaver River at Beaver Falls, PA",Stream,,05030104,3106,sq mi,,,40.7633985,-80.3150629,,1,seconds,Interpolated from MAP.,NAD83,727.48,feet,.01,feet,Level or other surveyed method.,NGVD29,US,42,007,,,,,,,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-293116098334101,AY-68-28-815 (Turtle Creek 3),Well,,12100301,,,,,29.5211111,-98.5613889,24000,1,seconds,Reported.,NAD83,946,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,48,029,Edwards-Trinity aquifer system,Edwards and Associated Limestones,,19730206,550,ft,,,NWIS
USGS-TX,USGS Texas Water Science Center,USGS-293516098325501,AY-68-28-211 (Shavano Park at Fawn Drive),Well,,12100301,,,,,29.5877778,-98.5486111,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,975,feet,5,feet,Interpolated from topographic map.,NGVD29,US,48,029,Edwards-Trinity aquifer system,Edwards and Associated Limestones,Unconfined single aquifer,19980623,300,ft,303.3,ft,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04086600,"MILWAUKEE RIVER NEAR CEDARBURG, WI",Stream,,04040003,607,sq mi,,,43.2802778,-87.9425,24000,1,seconds,Interpolated from MAP.,NAD83,653.35,feet,.01,feet,Level or other surveyed method.,NAVD88,US,55,089,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-040869415,"LINCOLN CREEK AT 47TH STREET AT MILWAUKEE, WI",Stream,,04040003,13.06,sq mi,,,43.0969559,-87.9723094,24000,1,seconds,Interpolated from MAP.,NAD83,640,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087000,"MILWAUKEE RIVER AT MILWAUKEE, WI",Stream,,04040003,696,sq mi,,,43.1000116,-87.9089745,24000,1,seconds,Interpolated from MAP.,NAD83,606.91,feet,.01,feet,Level or other surveyed method.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-040870195,"WILLOW CREEK AT MAPLE ROAD NEAR GERMANTOWN, WI",Stream,,04040003,6.33,sq mi,,,43.2066734,-88.1428695,24000,1,seconds,Interpolated from MAP.,NAD83,840,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,131,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087030,"MENOMONEE RIVER AT MENOMONEE FALLS, WI",Stream,,04040003,34.7,sq mi,,,43.1727778,-88.1038889,24000,1,seconds,Interpolated from MAP.,NAD83,755.27,feet,.01,feet,Level or other surveyed method.,NAVD88,US,55,133,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087070,"LITTLE MENOMONEE RIVER AT MILWAUKEE, WI",Stream,,04040003,19.7,sq mi,,,43.1236111,-88.0436111,24000,1,seconds,Interpolated from MAP.,NAD83,700,feet,5,feet,Interpolated from topographic map.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087088,"UNDERWOOD CREEK AT WAUWATOSA, WI",Stream,,04040003,18.1,sq mi,,,43.0547222,-88.0461111,24000,1,seconds,Interpolated from MAP.,NAD83,683.51,feet,.01,feet,Level or other surveyed method.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087119,"HONEY CREEK AT WAUWATOSA, WI",Stream,,04040003,10.3,sq mi,,,43.0438333,-88.0051111,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,635,feet,5,feet,Interpolated from topographic map.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087120,"MENOMONEE RIVER AT WAUWATOSA, WI",Stream,,04040003,123,sq mi,,,43.0455556,-87.9997222,24000,1,seconds,Interpolated from MAP.,NAD83,628.58,feet,.01,feet,Level or other surveyed method.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087159,"KINNICKINNIC RIVER @ S. 11TH STREET @ MILWAUKEE,WI",Stream,,04040003,18.8,sq mi,,,42.9975,-87.9263889,24000,1,seconds,Interpolated from MAP.,NAD83,588.56,feet,.01,feet,Level or other surveyed method.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087170,"MILWAUKEE RIVER AT MOUTH AT MILWAUKEE, WI",Stream,,04040002,872,sq mi,,,43.0244444,-87.8983333,24000,1,seconds,Interpolated from MAP.,NAD83,585,feet,5,feet,Interpolated from topographic map.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087204,"OAK CREEK AT SOUTH MILWAUKEE, WI",Stream,,04040002,25,sq mi,,,42.925,-87.87,24000,1,seconds,Interpolated from MAP.,NAD83,631.13,feet,.01,feet,Level or other surveyed method.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087214,"ROOT RIVER AT GRANGE AVENUE AT GREENFIELD, WI",Stream,,04040002,14.7,sq mi,,,42.945,-88.0141667,24000,1,seconds,Interpolated from MAP.,NAD83,705,feet,5,feet,Interpolated from topographic map.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-04087220,"ROOT RIVER NEAR FRANKLIN, WI",Stream,,04040002,49.2,sq mi,,,42.8736111,-87.9958333,24000,1,seconds,Interpolated from MAP.,NAD83,674.2,feet,.1,feet,Level or other surveyed method.,NAVD88,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-05544371,"JEWEL CREEK AT MUSKEGO, WI",Stream,,07120006,8.16,sq mi,,,42.9269587,-88.1459228,24000,1,seconds,Interpolated from MAP.,NAD83,800,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,133,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430031087511000,SOUTHERN OUTSIDE HARBOR BREAKWALL LAKE SITE,"Lake, Reservoir, Impoundment",,04060200,,,,,43.008626,-87.8528606,24000,1,seconds,Interpolated from MAP.,NAD83,581,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430052087531400,SOUTH MID-HARBOR MILWAUKEE OUTER HARBOR,"Lake, Reservoir, Impoundment",,04060200,,,,,43.014459,-87.887306,24000,1,seconds,Interpolated from MAP.,NAD83,581,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430130087534700,MID-CHANNEL SITE AT JONES ISLAND,"Lake, Reservoir, Impoundment",,04040003,,,,,43.0250141,-87.8964731,24000,1,seconds,Interpolated from MAP.,NAD83,581,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430134087532900,MIDDLE HARBOR MILWAUKEE OUTER HARBOR,"Lake, Reservoir, Impoundment",,04060200,,,,,43.0261252,-87.891473,24000,1,seconds,Interpolated from MAP.,NAD83,581,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430138087514800,MIDDLE OUTSIDE HARBOR BREAKWATER LAKE SITE,"Lake, Reservoir, Impoundment",,04060200,,,,,43.0272364,-87.8634167,24000,1,seconds,Interpolated from MAP.,NAD83,581,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430216087532400,NORTH MID-HARBOR MILWAUKEE OUTER HARBOR,"Lake, Reservoir, Impoundment",,04060200,,,,,43.0377915,-87.8900842,24000,.5,seconds,Interpolated from MAP.,NAD83,581,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,079,,,,,,,,,NWIS
USGS-WI,USGS Wisconsin Water Science Center,USGS-430240087520300,NORTHERN OUTSIDE HARBOR BREAKWATER LAKE SITE,"Lake, Reservoir, Impoundment",,04060200,,,,,43.044458,-87.8675837,24000,1,seconds,Interpolated from MAP.,NAD83,581,feet,5,feet,Interpolated from topographic map.,NGVD29,US,55,079,,,,,,,,,NWIS
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0101,DELAWARE RIVER,River/Stream,SR2060 (TRENTON AVE BR) NR MORRISVILLE,02040105,,,,,40.2192,-74.7783,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,017,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0110,SCHUYLKILL RIVER,River/Stream,Falls Bridge -Philadelphia,02040203,,,,,40.0083,-75.1972,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,101,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0130,JORDAN CREEK,River/Stream,MARTIN LUTHER KING JR BLVD,02040106,,,,,40.6019,-75.4622,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,077,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0138,BRODHEAD CREEK,River/Stream,SR0191 BR @ ANALOMINK,02040104,,,,,41.035,-75.2108,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,089,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0203,SUSQUEHANNA RIVER,River/Stream,VETERANS MEMORIAL BR BETWEEN SUNBURY & SHAMOKIN DAM,02050301,,,,,40.8514,-76.8069,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,097,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0212,YELLOW BREECHES CREEK,River/Stream,OLD US RT 11; BRIDGE ST BR @ NEW CUMBERLAND,02050305,,,,,40.2242,-76.8606,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,133,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0214,JUNIATA RIVER,River/Stream,SR0034 BR,02050304,,,,,40.4789,-77.1283,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,099,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0223,RAYSTOWN BRANCH JUNIATA RIVER,River/Stream,SR0913 BR WEST OF SAXON,02050303,,,,,40.215,-78.2647,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,009,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0271,CONODOGUINET CREEK,River/Stream,Sample Bridge Road,02050305,,,,,40.255,-77.0189,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,041,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0272,SWATARA CREEK,River/Stream,Just upstream of Hanover St Bridge @ Swatara Creek Park,02050305,,,,,40.2869,-76.6778,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,043,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0276,EAST LICKING CREEK,River/Stream,First Br above Clearview Res on SR4002,02050304,,,,,40.5511,-77.5167,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,067,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0301,SUSQUEHANNA RIVER,River/Stream,SR0054 BR,02050107,,,,,40.9589,-76.6197,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,093,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0308,FISHING CREEK,River/Stream,SR0042 BR,02050107,,,,,40.995,-76.4731,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,037,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0325,WEST BR FISHING CREEK,River/Stream,360 M UPSTRM of SGL13 Boundary,02050107,,,,,41.305,-76.4322,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,113,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0401,W BR SUSQUEHANNA RIVER,River/Stream,SR0045 BR,02050206,,,,,40.9669,-76.8792,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,097,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0702,MONONGAHELA RIVER,River/Stream,SR2018 BR - N CHARLEROI,05020005,,,,,40.1519,-79.9039,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,129,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0727,CHEAT RIVER,River/Stream,SR0119 BR @ POINT MARION,05020004,,,,,39.7414,-79.9,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,051,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0801,ALLEGHENY RIVER,River/Stream,HULTON HWY BR,05010009,,,,,40.5275,-79.8478,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,003,,,,,,,,,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-WQN0884,Allegheny River,River/Stream,US 422 Br @ Kittanning,05010006,,,,,40.8125,-79.5225,24000,,,Interpolation-Map,NAD83,,,,,,,US,42,005,,,,,,,,,STORET
