OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,MonitoringLocationIdentifier,ResultIdentifier,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassInformationUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationUrl,ProviderName,month
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200174,2002-06-18,13:00:00,EDT,USGS-04206200,NWIS-45017456,,Not Detected,,Cryptosporidium,,,,,Preliminary,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,6
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200174,2002-06-18,13:00:00,EDT,USGS-04206200,NWIS-45017457,,,,Cryptosporidium,,32,%,,Preliminary,,Actual,,,,,,,,,,,99600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,6
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200196,2002-07-16,12:15:00,EDT,USGS-04206200,NWIS-44809895,,Not Detected,,Cryptosporidium,,,,,Preliminary,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200196,2002-07-16,12:15:00,EDT,USGS-04206200,NWIS-44809896,,,,Cryptosporidium,,18,%,,Preliminary,,Actual,,,,,,,,,,,99600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200155,2002-05-22,8:45:00,EDT,USGS-04206425,NWIS-48083269,,Not Detected,,Cryptosporidium,,,,,Preliminary,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,5
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200175,2002-06-18,9:00:00,EDT,USGS-04206425,NWIS-47828154,,Not Detected,,Cryptosporidium,,,,,Preliminary,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,6
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.00200197,2002-07-16,9:00:00,EDT,USGS-04206425,NWIS-47828257,,Not Detected,,Cryptosporidium,,,,,Preliminary,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101145,2011-06-28,11:51:00,EDT,USGS-395520082281500,NWIS-35068930,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,6
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101147,2011-07-25,10:07:00,EDT,USGS-395520082281500,NWIS-35068936,,,,Cryptosporidium,,0.5,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,7
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01100513,2011-09-06,9:33:00,EDT,USGS-395520082281500,NWIS-34998526,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,9
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101146,2011-07-11,9:55:00,EDT,USGS-395557082283800,NWIS-34998611,,,,Cryptosporidium,,2,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,7
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01100563,2011-08-30,8:10:00,EDT,USGS-395557082283800,NWIS-34998529,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,8
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101148,2011-09-13,10:50:00,EDT,USGS-395557082283800,NWIS-34941481,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,9
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101141,2011-06-29,13:51:00,EDT,USGS-401910081111200,NWIS-34998535,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,6
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101143,2011-08-07,17:53:00,EDT,USGS-401910081111200,NWIS-34998541,,,,Cryptosporidium,,1,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,8
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101144,2011-08-15,13:10:00,EDT,USGS-401910081111200,NWIS-34941475,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,8
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101140,2011-06-29,10:23:00,EDT,USGS-401926081105100,NWIS-34873406,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,6
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101142,2011-08-07,13:17:00,EDT,USGS-401926081105100,NWIS-35068924,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,8
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01100753,2011-08-15,10:17:00,EDT,USGS-401926081105100,NWIS-34941470,,,,Cryptosporidium,,0.3,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,8
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01101139,2011-08-27,14:00:00,EDT,USGS-403219081155500,NWIS-35068920,,Not Detected,,Cryptosporidium,,,,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,8
USGS-OH,USGS Ohio Water Science Center,nwisoh.01.01100635,2011-09-11,13:38:00,EDT,USGS-403219081155500,NWIS-34873400,,,,Cryptosporidium,,0.2,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,BIO04,USGS,"Cryptosporidium, 1623, ultrafilt",,,"Appl Environ Microbiol, 2007, v 73, p 4218-4225",U.S. Environmental Protection Agency,,,,,,,,,,,,,,,NWIS,9
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00700531,2007-03-07,12:00:00,EST,USGS-01440650,NWIS-77464722,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,3
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00701890,2007-07-19,11:00:00,EDT,USGS-01440650,NWIS-64985645,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,7
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00701911,2007-09-13,13:00:00,EDT,USGS-01440650,NWIS-65133540,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,9
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00800581,2008-02-04,13:00:00,EST,USGS-01440650,NWIS-42997129,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,2
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00801385,2008-04-03,12:00:00,EDT,USGS-01440650,NWIS-98785289,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,4
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00801406,2008-06-12,15:00:00,EDT,USGS-01440650,NWIS-98550549,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,6
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00801984,2008-08-11,14:00:00,EDT,USGS-01440650,NWIS-101425709,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,8
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00900282,2008-11-19,8:00:00,EST,USGS-01440650,NWIS-42784128,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,11
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00901029,2009-03-10,15:00:00,EDT,USGS-01440650,NWIS-35350939,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,3
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00901053,2009-05-06,11:00:00,EDT,USGS-01440650,NWIS-35354678,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,5
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00901872,2009-07-07,14:00:00,EDT,USGS-01440650,NWIS-39479292,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,7
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00700633,2007-03-05,16:00:00,EST,USGS-01452040,NWIS-77901427,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,3
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00701888,2007-07-12,14:00:00,EDT,USGS-01452040,NWIS-65129795,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,7
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00702435,2007-09-20,8:00:00,EDT,USGS-01452040,NWIS-33838215,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,9
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00800593,2008-02-07,11:00:00,EST,USGS-01452040,NWIS-42961102,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,2
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00801381,2008-04-02,13:00:00,EDT,USGS-01452040,NWIS-98472475,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,4
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00801403,2008-06-10,15:00:00,EDT,USGS-01452040,NWIS-98785872,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,6
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00801987,2008-08-12,9:00:00,EDT,USGS-01452040,NWIS-101470836,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,8
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00900287,2008-11-20,9:00:00,EST,USGS-01452040,NWIS-46835854,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,11
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00901035,2009-03-12,7:00:00,EDT,USGS-01452040,NWIS-35351177,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,3
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00901866,2009-07-06,12:00:00,EDT,USGS-01452040,NWIS-39547442,,,,Cryptosporidium,,9,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,7
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00801501,2008-04-21,14:00:00,EDT,USGS-01474000,NWIS-98560419,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Department of Environmental Protection,,,,,,,,,,,,,,,NWIS,4
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00700640,2007-03-08,14:00:00,EST,USGS-01474010,NWIS-77480151,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,3
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00701889,2007-07-17,12:00:00,EDT,USGS-01474010,NWIS-65129890,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,7
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00702032,2007-09-26,11:00:00,EDT,USGS-01474010,NWIS-65063263,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,9
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00800658,2008-02-26,14:00:00,EST,USGS-01474010,NWIS-42973054,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,2
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00802344,2008-04-21,15:00:00,EDT,USGS-01474010,NWIS-101831855,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,4
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00801523,2008-06-18,11:00:00,EDT,USGS-01474010,NWIS-98562894,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,6
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00802070,2008-08-21,11:00:00,EDT,USGS-01474010,NWIS-101782496,,,,Cryptosporidium,,0,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,8
USGS-PA,USGS Pennsylvania Water Science Center,nwispa.01.00900275,2008-11-17,9:00:00,EST,USGS-01474010,NWIS-46836457,,,,Cryptosporidium,,1,oocyst/10L,,Accepted,,Actual,,,,,,,,,,,99599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NWIS,11
